sample	genotype	reporter	txn_inh	m6A_inh	transl_inh	time	time_num	target	experiment	replicate	Ct	expression	is_outlier
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	TDH1	2024-07-12	rep1	22.7894190201138	0.137945960832562	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	GAPDH	2024-07-12	rep1	21.2880824018753	0.390525869701952	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	Neon2	2024-07-12	rep1	20.1201065884929	0.87749559197859	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	mCherry	2024-07-12	rep1	16.2703117730575	12.6560516865031	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	YTHDF2	2024-07-12	rep1	21.978533117133	0.242238869522691	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	TDH1	2024-07-12	rep2	22.8344709771101	0.133810568931111	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	GAPDH	2024-07-12	rep2	21.537668249723	0.328486178644929	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	Neon2	2024-07-12	rep2	20.5887826582055	0.634113247865783	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	mCherry	2024-07-12	rep2	16.9410211372821	7.95253480432038	FALSE
C4_0h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	0h	0	YTHDF2	2024-07-12	rep2	22.0645693625989	0.228097740821117	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	TDH1	2024-07-12	rep1	22.4710864482267	0.172013367536585	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	GAPDH	2024-07-12	rep1	21.4768381646196	0.344178401697668	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	Neon2	2024-07-12	rep1	20.3671943251133	0.739470221294564	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	mCherry	2024-07-12	rep1	16.6374490636175	9.80933791631314	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	YTHDF2	2024-07-12	rep1	22.1886266690094	0.209213118780826	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	TDH1	2024-07-12	rep2	22.091468227902	0.223780910047057	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	GAPDH	2024-07-12	rep2	21.1057455674294	0.443136555806132	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	Neon2	2024-07-12	rep2	20.2751983095197	0.788060351448049	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	mCherry	2024-07-12	rep2	16.8844537661612	8.26582274903688	FALSE
C4_1h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	1h	1	YTHDF2	2024-07-12	rep2	22.1621383313339	0.213093849587494	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep1	22.4354916260672	0.176318291011055	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep1	21.3900209320188	0.364647184612383	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep1	20.9763406912211	0.484731117504285	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep1	16.8762721493785	8.31259084584746	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep1	22.8014391057025	0.136986592949399	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep2	22.6512615398242	0.160117632700647	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep2	21.4394080393831	0.351648005194695	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep2	20.0427981419143	0.925834162738235	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep2	15.8504300459687	16.9315528136451	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep2	22.851229599305	0.132179718893529	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	TDH1	2024-07-12	rep3	22.2713501987067	0.197553527690101	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	GAPDH	2024-07-12	rep3	20.7646463623429	0.564345311243558	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	Neon2	2024-07-12	rep3	20.4688287157428	0.689082689448123	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	mCherry	2024-07-12	rep3	16.2663447092276	12.6880894769767	FALSE
C4_2h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	2h	2	YTHDF2	2024-07-12	rep3	22.9682953589901	0.121869778668002	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	TDH1	2024-07-12	rep1	23.0796664514594	0.112899095702197	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	GAPDH	2024-07-12	rep1	22.0693824572558	0.227228175197553	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	Neon2	2024-07-12	rep1	21.4619626776355	0.34654572679739	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	mCherry	2024-07-12	rep1	17.4662167865625	5.52263288963365	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	YTHDF2	2024-07-12	rep1	23.85791472483	0.0657772259319151	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	TDH1	2024-07-12	rep2	22.2681862876753	0.197980567683078	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	GAPDH	2024-07-12	rep2	21.3301798530476	0.38568663023973	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	Neon2	2024-07-12	rep2	21.532166468905	0.329751168052673	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	mCherry	2024-07-12	rep2	17.055674908962	7.34278216447766	FALSE
C4_4h_ActD_mock_none_WT	WT	C4	ActD	mock	mock	4h	4	YTHDF2	2024-07-12	rep2	23.2115705900082	0.102971563116227	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep1	22.2851961319983	0.195662861993958	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep1	21.3100197567362	0.384639226690184	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep1	20.1088446800127	0.886018997991617	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	mCherry	2024-07-12	rep1	16.8844430945661	8.27857248073257	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	YTHDF2	2024-07-12	rep1	21.06031275239	0.457352304287804	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep2	22.607919892986	0.156438791613286	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep2	21.2474673946518	0.401770420126093	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep2	20.0093313580838	0.953728065788196	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	mCherry	2024-07-12	rep2	16.5583483008988	10.3718441097925	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	YTHDF2	2024-07-12	rep2	20.9581745090554	0.490875819314574	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	TDH1	2024-07-12	rep3	22.5349668840236	0.164553281223787	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	GAPDH	2024-07-12	rep3	20.9906239647801	0.479960574521742	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	Neon2	2024-07-12	rep3	19.7437258468144	1.14163486906542	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	mCherry	2024-07-12	rep3	16.3103280108175	12.3118939110296	FALSE
C4_0h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	0h	0	YTHDF2	2024-07-12	rep3	21.0602829594594	0.457357958422536	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	TDH1	2024-07-12	rep1	22.7616859039843	0.140662540458912	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	GAPDH	2024-07-12	rep1	21.42994931972	0.355919084345622	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	Neon2	2024-07-12	rep1	20.380661224779	0.737168138742115	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	mCherry	2024-07-12	rep1	17.076908011503	7.26710052965156	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	YTHDF2	2024-07-12	rep1	21.114045517299	0.440601639153097	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	TDH1	2024-07-12	rep2	22.1366349413881	0.216910192594609	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	GAPDH	2024-07-12	rep2	21.2790660513598	0.392973399582077	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	Neon2	2024-07-12	rep2	20.2646453507959	0.79435206568568	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	mCherry	2024-07-12	rep2	16.6122602075887	9.99300894310833	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	YTHDF2	2024-07-12	rep2	21.1601364971289	0.427196435582236	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	TDH1	2024-07-12	rep3	23.3579555589567	0.0930156724092845	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	GAPDH	2024-07-12	rep3	22.4456983170267	0.175128933540155	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	Neon2	2024-07-12	rep3	21.0993256628318	0.445943955366759	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	mCherry	2024-07-12	rep3	17.7781003833391	4.45441349555294	FALSE
C4_1h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	1h	1	YTHDF2	2024-07-12	rep3	22.183323676742	0.210379586324197	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	TDH1	2024-07-12	rep1	22.3031377295672	0.193244913843255	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	GAPDH	2024-07-12	rep1	21.5424590224603	0.32817672626678	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	Neon2	2024-07-12	rep1	20.6613718952181	0.603032890538097	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	mCherry	2024-07-12	rep1	17.2460502312999	6.43542392420771	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	YTHDF2	2024-07-12	rep1	21.5854232699768	0.317962832796244	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	TDH1	2024-07-12	rep2	23.4478029121736	0.0874210902236992	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	GAPDH	2024-07-12	rep2	22.6730417221792	0.149536799147961	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	Neon2	2024-07-12	rep2	22.8850569247491	0.136988046676389	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	mCherry	2024-07-12	rep2	19.3919356869235	1.45435367726128	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	YTHDF2	2024-07-12	rep2	22.2827135267298	0.196209601312016	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	TDH1	2024-07-12	rep3	24.0165015876094	0.0589311801601355	FALSE
C4_2h_ActD_STM_none_WT	WT	C4	ActD	STM	mock	2h	2	GAPDH	2024-07-12	rep3	23.1002503088898	0.111208530861782	FALSE
