experiment	run	title	layout	type	species	spikein	read1	read2	source
B116	CTRL_0h	CTRL_0h	PAIRED	miclip	homo_sapiens		CTRL_0h_1.fastq.gz	CTRL_0h_2.fastq.gz	custom
B116	CHX_0h	CHX_0h	PAIRED	miclip	homo_sapiens		CHX_0h_1.fastq.gz	CHX_0h_2.fastq.gz	custom
B116	PURO_0h	PURO_0h	PAIRED	miclip	homo_sapiens		PURO_0h_1.fastq.gz	PURO_0h_2.fastq.gz	custom
B116	CTRL_2h	CTRL_2h	PAIRED	miclip	homo_sapiens		CTRL_2h_1.fastq.gz	CTRL_2h_2.fastq.gz	custom
B116	CHX_2h	CHX_2h	PAIRED	miclip	homo_sapiens		CHX_2h_1.fastq.gz	CHX_2h_2.fastq.gz	custom
B116	PURO_2h	PURO_2h	PAIRED	miclip	homo_sapiens		PURO_2h_1.fastq.gz	PURO_2h_2.fastq.gz	custom
B116	CHX_4h	CHX_4h	PAIRED	miclip	homo_sapiens		CHX_4h_1.fastq.gz	CHX_4h_2.fastq.gz	custom
B116	CTRL_4h	CTRL_4h	PAIRED	miclip	homo_sapiens		CTRL_4h_1.fastq.gz	CTRL_4h_2.fastq.gz	custom
B116	PURO_4h	PURO_4h	PAIRED	miclip	homo_sapiens		PURO_4h_1.fastq.gz	PURO_4h_2.fastq.gz	custom
B116	XRN1_0h	XRN1_0h	PAIRED	miclip	homo_sapiens		XRN1_0h_1.fastq.gz	XRN1_0h_2.fastq.gz	custom
NatMeth	SRR2003406	HEK293_total_RNA_miCLIP_SySy	SINGLE	miclip	homo_sapiens		SRR2003406.fastq.gz		ENA
NatMeth	SRR1686787	HEK293_total_RNA_miCLIP_Abcam	SINGLE	miclip	homo_sapiens		SRR1686787.fastq.gz		ENA
NatMeth	SRR1686788	HEK293_mRNA_miCLIP_rep1	PAIRED	miclip	homo_sapiens		SRR1686788_1.fastq.gz	SRR1686788_2.fastq.gz	ENA
NatMeth	SRR1686789	HEK293_mRNA_miCLIP_rep2	PAIRED	miclip	homo_sapiens		SRR1686789_1.fastq.gz	SRR1686789_2.fastq.gz	ENA
NatMeth	SRR1686790	HEK293_mRNA_miCLIP_rep3	PAIRED	miclip	homo_sapiens		SRR1686790_1.fastq.gz	SRR1686790_2.fastq.gz	ENA
NatMeth	SRR1686791	HEK293_mRNA_mICLIP_rep4	PAIRED	miclip	homo_sapiens		SRR1686791_1.fastq.gz	SRR1686791_2.fastq.gz	ENA
Mauer_et_al	SRR3176281	miCLIP_of_HEK293T	SINGLE	miclip	homo_sapiens		SRR3176281_1.fastq.gz		SRA
